3437 1566167347 3.779366089388427e-07 1.585  2 14427 4.19
3438 1566167348 3.778085264414985e-07 1.584  1 14428 4.19
3439 1566167349 3.782803043882461e-07 1.586  1 14429 4.19
3440 1566167349 3.784535324676219e-07 1.587  0 14429 4.19
3441 1566167367 3.783263876130031e-07 1.586 18 14447 4.19
3442 1566167370 3.778991890200991e-07 1.585  3 14450 4.19
3443 1566167371 3.779211830364229e-07 1.585  1 14451 4.19
3444 1566167375 3.780933675025068e-07 1.585  4 14455 4.19
3445 1566167384 3.781159560225291e-07 1.585  9 14464 4.19
3446 1566167391 3.781381182693933e-07 1.586  7 14471 4.19
3447 1566167409 3.781594250720263e-07 1.586 18 14489 4.20
3448 1566167415 3.781818784621897e-07 1.586  6 14495 4.20
3449 1566167421 3.783541574608936e-07 1.586  6 14501 4.20
3450 1566167421 3.782265071273854e-07 1.586  0 14501 4.20
3451 1566167432 3.780983710558775e-07 1.585 11 14512 4.20
3452 1566167451 3.781201023098717e-07 1.585 19 14531 4.20
3453 1566167465 3.773931776880758e-07 1.582 14 14545 4.21
3454 1566167467  3.77413545960401e-07 1.583  2 14547 4.21
3455 1566167472 3.774336315145803e-07 1.583  5 14552 4.21
3456 1566167485 3.777535789717003e-07 1.584 13 14565 4.21
3457 1566167491 3.782249335017232e-07 1.586  6 14571 4.21
3458 1566167499 3.776487236263809e-07 1.583  8 14579 4.21
3459 1566167503 3.772217725208371e-07 1.582  4 14583 4.21
3460 1566167505 3.770933207876006e-07 1.581  2 14585 4.21
3461 1566167505 3.771133722712367e-07 1.581  0 14585 4.21
3462 1566167507  3.76834833489573e-07 1.580  2 14587 4.21
3463 1566167516 3.765564222718965e-07 1.579  9 14596 4.21
3464 1566167519 3.764264393960889e-07 1.578  3 14599 4.21
3465 1566167527 3.765935767260629e-07 1.579  8 14607 4.21
3466 1566167529 3.766125822199005e-07 1.579  2 14609 4.21
3467 1566167540 3.769287232780549e-07 1.580 11 14620 4.21
3468 1566167551 3.770965914514433e-07 1.581 11 14631 4.21
3469 1566167554 3.766690426851404e-07 1.579  3 14634 4.21
3470 1566167564 3.772828284310105e-07 1.582 10 14644 4.22
3471 1566167571 3.770040393624378e-07 1.581  7 14651 4.22
3472 1566167574 3.770226598641708e-07 1.581  3 14654 4.22
3473 1566167577  3.76892354965251e-07 1.580  3 14657 4.22
3474 1566167577 3.775080094117722e-07 1.583  0 14657 4.21
3475 1566167579 3.778289395732499e-07 1.584  2 14659 4.21
3476 1566167583 3.777023566384044e-07 1.584  4 14663 4.21
3477 1566167586 3.781745843933807e-07 1.586  3 14666 4.21
3478 1566167589 3.781993281605985e-07 1.586  3 14669 4.21
3479 1566167594 3.782235029443021e-07 1.586  5 14674 4.21
3480 1566167603 3.782472515987573e-07 1.586  9 14683 4.21
3481 1566167618 3.784204494004168e-07 1.587 15 14698 4.22
3482 1566167618 3.784442227946252e-07 1.587  0 14698 4.22
3483 1566167620 3.784681424163052e-07 1.587  2 14700 4.22
3484 1566167624  3.78491778545221e-07 1.587  4 14704 4.22
3485 1566167626 3.785157041790049e-07 1.587  2 14706 4.21
3486 1566167639 3.782395258055726e-07 1.586 13 14719 4.22
3487 1566167640  3.77663699397367e-07 1.584  1 14720 4.22
3488 1566167647 3.781344005498678e-07 1.586  7 14727 4.22
3489 1566167647 3.781575659936384e-07 1.586  0 14727 4.22
3490 1566167651 3.781798761407734e-07 1.586  4 14731 4.22
3491 1566167652 3.785019501516444e-07 1.587  1 14732 4.21
3492 1566167660 3.780743552073874e-07 1.585  8 14740 4.22
3493 1566167668 3.782451055134368e-07 1.586  8 14748 4.22
3494 1566167669 3.781168138676221e-07 1.585  1 14749 4.22
3495 1566167672 3.782878887434323e-07 1.586  3 14752 4.22
3496 1566167691 3.783093555481001e-07 1.586 19 14771 4.22
3497 1566167706 3.783303953805674e-07 1.586 15 14786 4.22
3498 1566167706 3.782016167650778e-07 1.586  0 14786 4.22
3499 1566167707 3.782223585061568e-07 1.586  1 14787 4.22
3500 1566167709  3.78243674803419e-07 1.586  2 14789 4.22
3501 1566167714 3.781150981813284e-07 1.585  5 14794 4.22
3502 1566167715 3.775382248980207e-07 1.583  1 14795 4.22
3503 1566167717 3.772590583964199e-07 1.582  2 14797 4.22
3504 1566167720 3.774272209990642e-07 1.583  3 14800 4.22
3505 1566167724 3.774461682631389e-07 1.583  4 14804 4.22
3506 1566167727 3.774651174296564e-07 1.583  3 14807 4.22
3507 1566167728 3.773353608667591e-07 1.582  1 14808 4.22
3508 1566167757 3.776522891784115e-07 1.584 29 14837 4.22
3509 1566167758 3.778210881076873e-07 1.584  1 14838 4.22
3510 1566167758  3.78139548180984e-07 1.586  0 14838 4.22
3511 1566167762 3.781601401070427e-07 1.586  4 14842 4.22
3512 1566167767 3.780310486215597e-07 1.585  5 14847 4.22
3513 1566167785 3.780506282582555e-07 1.585 18 14865 4.23
3514 1566167787 3.771741085678056e-07 1.582  2 14867 4.23
3515 1566167795 3.771907540124043e-07 1.582  8 14875 4.23
3516 1566167795 3.773558652981034e-07 1.582  0 14875 4.23
3517 1566167796 3.772230532111178e-07 1.582  1 14876 4.22
3518 1566167798 3.770900501804922e-07 1.581  2 14878 4.22
3519 1566167803 3.765110527300245e-07 1.579  5 14883 4.22
3520 1566167816 3.766730154155548e-07 1.579 13 14896 4.23
3521 1566167820 3.765388402769175e-07 1.579  4 14900 4.23
3522 1566167824  3.76700968780784e-07 1.580  4 14904 4.23
3523 1566167826 3.768635210183526e-07 1.580  2 14906 4.23
3524 1566167845  3.77027066511582e-07 1.581 19 14925 4.23
3525 1566167845 3.770424195071669e-07 1.581  0 14925 4.23
3526 1566167845 3.766127240591553e-07 1.579  0 14925 4.23
3527 1566167847 3.767754840549714e-07 1.580  2 14927 4.23
3528 1566167847 3.767899647285065e-07 1.580  0 14927 4.23
3529 1566167848 3.768045884989713e-07 1.580  1 14928 4.23
3530 1566167848 3.762261835639086e-07 1.578  0 14928 4.22
3531 1566167850 3.766837989634022e-07 1.579  2 14930 4.22
3532 1566167850 3.768467624264996e-07 1.580  0 14930 4.22
3533 1566167857 3.770100090939736e-07 1.581  7 14937 4.22
3534 1566167857 3.770256450011622e-07 1.581  0 14937 4.22
3535 1566167860 3.771899003641211e-07 1.582  3 14940 4.22
3536 1566167865 3.772054089104586e-07 1.582  5 14945 4.22
3537 1566167869 3.773699633873613e-07 1.582  4 14949 4.22
3538 1566167870 3.776839542341803e-07 1.584  1 14950 4.22
3539 1566167876 3.774030054610812e-07 1.582  6 14956 4.22
3540 1566167876 3.777176220087849e-07 1.584  0 14956 4.22
3541 1566167891 3.778841945675814e-07 1.584 15 14971 4.22
3542 1566167892  3.77901759617156e-07 1.585  1 14972 4.22
3543 1566167893 3.777701328905815e-07 1.584  1 14973 4.22
3544 1566167895 3.777874018865244e-07 1.584  2 14975 4.22
3545 1566167898 3.776555695457442e-07 1.584  3 14978 4.22
3546 1566167900 3.778215163610311e-07 1.584  2 14980 4.22
3547 1566167906 3.773901867283196e-07 1.582  6 14986 4.22
3548 1566167911 3.774045722548069e-07 1.582  5 14991 4.22
3549 1566167912 3.775677324223256e-07 1.583  1 14992 4.22
3550 1566167913 3.774334890563141e-07 1.583  1 14993 4.22
3551 1566167915 3.775962464891273e-07 1.583  2 14995 4.22
3552 1566167916 3.777597151689603e-07 1.584  1 14996 4.22
3553 1566167919 3.774762313598213e-07 1.583  3 14999 4.22
3554 1566167925 3.773411987071103e-07 1.582  6 15005 4.22
3555 1566167945 3.775030214711659e-07 1.583 20 15025 4.22
3556 1566167950 3.776649830901464e-07 1.584  5 15030 4.22
3557 1566167960 3.775296728545747e-07 1.583 10 15040 4.22
3558 1566167961  3.77542643605609e-07 1.583  1 15041 4.22
3559 1566167976 3.775554726975797e-07 1.583 15 15056 4.23
3560 1566167989 3.774195286678803e-07 1.583 13 15069 4.23
3561 1566167993 3.769861313021026e-07 1.581  4 15073 4.23
3562 1566168006 3.771467961497769e-07 1.581 13 15086 4.23
3563 1566168020 3.768613906061861e-07 1.580 14 15100 4.23
3564 1566168022 3.771685604127409e-07 1.581  2 15102 4.23
3565 1566168026 3.767347453859414e-07 1.580  4 15106 4.23
3566 1566168037 3.764489708898627e-07 1.578 11 15117 4.23
3567 1566168040 3.769035772505586e-07 1.580  3 15120 4.23
3568 1566168049 3.764710798827115e-07 1.579  9 15129 4.24
3569 1566168051 3.761865542143647e-07 1.577  2 15131 4.23
3570 1566168056 3.763445551750001e-07 1.578  5 15136 4.23
3571 1566168056 3.763553199241924e-07 1.578  0 15136 4.23
3572 1566168088 3.765143133011876e-07 1.579 32 15168 4.24
3573 1566168094  3.76377842904619e-07 1.578  6 15174 4.24
